iter	Passed	Remaining
720	135494	52431
721	135639	52226
722	135840	52044
723	135970	51833
724	136146	51641
725	136321	51449
726	136502	51258
727	136673	51064
728	136837	50868
729	137033	50683
730	137208	50491
731	137376	50296
732	137605	50123
733	137835	49951
734	138038	49768
735	138220	49579
736	138393	49386
737	138564	49192
738	138729	48996
739	138911	48806
740	139074	48610
741	139251	48418
742	139468	48241
743	139618	48040
744	139772	47841
745	139916	47639
746	140089	47446
747	140245	47248
748	140377	47042
749	140593	46864
750	140763	46671
751	140953	46484
752	141131	46294
753	141299	46100
754	141467	45906
755	141669	45723
756	141859	45537
757	142038	45347
758	142238	45164
759	142413	44972
760	142597	44784
761	142811	44605
762	142982	44412
763	143181	44228
764	143381	44045
765	143580	43861
766	143717	43658
767	143884	43465
768	144061	43274
769	144245	43086
770	144413	42893
771	144594	42704
772	144788	42518
773	144984	42334
774	145191	42152
775	145356	41958
776	145583	41782
777	145805	41605
778	145990	41417
779	146184	41231
780	146343	41036
781	146520	40845
782	146721	40662
783	146930	40480
784	147111	40291
785	147321	40110
786	147536	39930
787	147736	39746
788	147932	39561
789	148129	39376
790	148325	39190
791	148515	39004
792	148702	38816
793	148888	38628
794	149076	38441
795	149229	38244
796	149387	38049
797	149598	37868
798	149780	37679
799	150006	37501
800	150168	37307
801	150307	37108
802	150455	36911
803	150630	36720
804	150765	36520
805	150930	36328
806	151075	36130
807	151241	35938
808	151411	35747
809	151573	35554
810	151743	35363
811	151900	35169
812	152073	34978
813	152251	34789
814	152402	34594
815	152641	34419
816	152868	34240
817	153034	34049
818	153212	33860
819	153429	33679
820	153624	33494
821	153796	33303
822	153998	33119
823	154188	32933
824	154357	32742
825	154489	32543
826	154677	32356
827	154852	32167
828	155041	31980
829	155281	31804
830	155514	31626
831	155689	31437
832	155887	31252
833	156113	31073
834	156328	30891
835	156518	30704
836	156686	30513
837	156871	30326
838	157075	30141
839	157252	29952
840	157406	29759
841	157591	29571
842	157798	29388
843	157980	29200
844	158199	29018
845	158359	28826
846	158546	28639
847	158718	28449
848	158876	28257
849	159018	28062
850	159219	27877
851	159416	27692
852	159572	27499
853	159782	27316
854	160019	27137
855	160151	26941
856	160325	26752
857	160513	26565
858	160676	26374
859	160880	26189
860	161086	26005
861	161270	25818
862	161472	25633
863	161655	25445
864	161838	25258
865	162033	25072
866	162221	24885
867	162381	24693
868	162574	24507
869	162764	24321
870	162948	24133
871	163114	23943
872	163301	23756
873	163478	23567
874	163680	23382
875	163854	23193
876	164021	23004
